City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bredasdorp,ZA,80.87,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
12,Queimadas,BR,84.11,overcast clouds,-10.9783,-39.6264,Hotel Mandala
14,San Policarpo,PH,81.73,overcast clouds,12.1791,125.5072,Agapita M. Nicart
15,Butaritari,KI,81.64,few clouds,3.0707,172.7902,Isles Sunset Lodge
20,Rikitea,PF,76.37,few clouds,-23.1203,-134.9692,People ThankYou
22,Victoria,HK,75.18,broken clouds,22.2855,114.1577,Mini Central
25,Manicaragua,CU,79.25,broken clouds,22.1494,-79.9736,Hostal Las V
27,Katakwi,UG,80.96,broken clouds,1.8911,33.9661,Homestay Katakwi
29,Hithadhoo,MV,84.16,broken clouds,-0.6,73.0833,Scoop Guest House
33,Atuona,PF,78.87,overcast clouds,-9.8,-139.0333,Villa Enata
34,Arraial Do Cabo,BR,75.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
48,Sambava,MG,80.44,clear sky,-14.2667,50.1667,Melrose
51,Mogadishu,SO,82.9,broken clouds,2.0371,45.3438,Hotel Juba
53,Saldanha,ZA,77.11,few clouds,-33.0117,17.9442,Blue Bay Lodge
55,Port Alfred,ZA,83.55,clear sky,-33.5906,26.891,The Halyards Hotel
59,Corn Island,NI,81.86,overcast clouds,12.1694,-83.0418,Big Fish Guest House
60,Neunkirchen,DE,81.25,clear sky,49.35,7.1833,"Holiday Inn Express Neunkirchen, an IHG Hotel"
61,Giarmata,RO,80.96,few clouds,45.8383,21.3108,Agropensiune kevin&jessica
63,Merauke,ID,78.03,clear sky,-8.4667,140.3333,
74,Lahad Datu,MY,77.45,overcast clouds,5.0268,118.327,The 27th House
80,Port Blair,IN,79.48,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
84,Cabo Rojo,PR,85.89,scattered clouds,18.0866,-67.1457,Hotel Perichi's
88,Lasa,IT,77.68,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
95,Henderson,US,76.82,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
98,Neyshabur,IR,82.58,broken clouds,36.2133,58.7958,Amiran Hotel & Commercial Complex
109,Bang Mun Nak,TH,88.99,overcast clouds,16.0278,100.3792,NIDA Rooms Phichit 55 Bang Mun Nak
110,Lorengau,PG,82.36,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
113,Faanui,PF,80.33,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Muli,MV,83.21,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
122,Cape Town,ZA,82.35,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
123,Port Elizabeth,ZA,81.52,clear sky,-33.918,25.5701,39 On Nile Guest House
125,Viet Tri,VN,78.75,broken clouds,21.3019,105.4308,Trung tâm Hội nghị tỉnh Phú Thọ
129,Bayir,TR,79.32,clear sky,37.2687,28.2167,Hotel Babadag
132,Auki,SB,77.5,clear sky,-8.7676,160.7034,Auki Motel
133,Buala,SB,80.37,light rain,-8.145,159.5921,Maringe Lagoon Lodge
137,Deder,ET,78.57,scattered clouds,9.3167,41.45,Entoto Hotel
138,Udgir,IN,89.89,overcast clouds,18.3833,77.1167,Sarpmitra Ganesh Kallure
139,Kendari,ID,78.33,overcast clouds,-3.945,122.4989,Hotel Wixel
142,Abha,SA,82.65,clear sky,18.2164,42.5053,Abha Hotel
144,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Alize Plage
145,East London,ZA,81.34,clear sky,-33.0153,27.9116,Tu Casa
146,Guarabira,BR,82.42,scattered clouds,-6.8547,-35.49,Victor's Center Hotel
148,Skegness,GB,75.02,overcast clouds,53.1436,0.3363,The Royal Hotel
149,The Valley,AI,84.09,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
152,Ternate,ID,82.27,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
153,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
159,Bonthe,SL,84.7,broken clouds,7.5264,-12.505,Bonthe Holiday Village
161,Kruisfontein,ZA,87.75,clear sky,-34.0033,24.7314,Oyster Bay House Rental
169,San Patricio,US,79.86,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
171,Sao Jose Da Coroa Grande,BR,83.03,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
174,La Asuncion,VE,81.64,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
185,Poso,ID,78.93,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
186,Jacqueville,CI,82.96,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
189,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
190,Hermosillo,MX,77.85,clear sky,29.0667,-110.9667,ibis Hermosillo
198,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
202,Ampanihy,MG,79.18,clear sky,-24.7,44.75,Angora Hotel
205,Cabo San Lucas,MX,75.51,few clouds,22.8909,-109.9124,Vista Roof Restaurant
208,Mahibadhoo,MV,83.01,overcast clouds,3.7833,72.9667,Omadhoo Inn
209,Namatanai,PG,79.75,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
212,Poum,NC,77.09,scattered clouds,-20.2333,164.0167,
213,Bengkulu,ID,80.06,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
