City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2022-05-12 18:57:25,-22.9661,-42.0278,76.86,73,75,12.66
1,Longyearbyen,SJ,2022-05-12 18:57:26,78.2186,15.6401,19.24,63,0,14.97
2,Albany,US,2022-05-12 18:54:34,42.6001,-73.9662,86.92,30,19,4.0
3,Saint George,US,2022-05-12 18:53:48,37.1041,-113.5841,68.79,21,0,4.61
4,Kaitangata,NZ,2022-05-12 18:57:26,-46.2817,169.8464,45.28,81,99,5.39
5,Vardo,NO,2022-05-12 18:57:26,70.3705,31.1107,39.18,70,0,12.66
6,Westport,US,2022-05-12 18:54:13,41.1415,-73.3579,80.28,67,75,5.01
7,Ushuaia,AR,2022-05-12 18:57:27,-54.8,-68.3,44.26,93,75,1.14
8,Abu Samrah,SY,2022-05-12 18:57:27,35.3029,37.1841,65.71,45,75,8.79
9,Temerloh,MY,2022-05-12 18:57:27,3.4483,102.4176,73.98,98,71,3.11
10,Saldanha,ZA,2022-05-12 18:57:28,-33.0117,17.9442,57.25,76,80,7.54
11,Saurimo,AO,2022-05-12 18:57:28,-9.6608,20.3916,72.0,60,41,4.23
12,Nishihara,JP,2022-05-12 18:57:28,26.1842,127.7558,78.08,94,75,14.97
13,Torbay,CA,2022-05-12 18:57:29,47.6666,-52.7314,69.89,63,75,19.57
14,Salinopolis,BR,2022-05-12 18:57:29,-0.6136,-47.3561,80.64,81,94,6.38
15,Clonakilty,IE,2022-05-12 18:57:29,51.6231,-8.8706,54.09,81,100,19.1
16,Bagado,CO,2022-05-12 18:57:30,5.4116,-76.4152,87.15,73,99,3.0
17,Qaanaaq,GL,2022-05-12 18:57:30,77.484,-69.3632,18.54,72,27,2.55
18,Hasaki,JP,2022-05-12 18:57:31,35.7333,140.8333,64.8,95,100,11.05
19,Rikitea,PF,2022-05-12 18:57:31,-23.1203,-134.9692,77.0,76,1,18.61
20,Mount Isa,AU,2022-05-12 18:53:44,-20.7333,139.5,56.97,100,55,5.75
21,Vryburg,ZA,2022-05-12 18:57:31,-26.9566,24.7284,63.59,33,0,8.3
22,Ponta Delgada,PT,2022-05-12 18:57:32,37.7333,-25.6667,63.32,63,20,14.97
23,Port Alfred,ZA,2022-05-12 18:57:32,-33.5906,26.891,58.17,92,1,1.01
24,Vestmanna,FO,2022-05-12 18:57:32,62.1564,-7.1664,43.72,76,75,17.27
25,Butaritari,KI,2022-05-12 18:57:33,3.0707,172.7902,81.37,78,100,18.03
26,Jumla,NP,2022-05-12 18:57:33,29.2747,82.1838,55.27,93,22,1.59
27,Geraldton,AU,2022-05-12 18:57:33,-28.7667,114.6,55.81,94,100,13.8
28,Kismayo,SO,2022-05-12 18:57:34,-0.3582,42.5454,80.85,76,96,15.26
29,Sao Miguel Do Araguaia,BR,2022-05-12 18:57:34,-13.275,-50.1628,90.7,29,63,2.24
30,Nanortalik,GL,2022-05-12 18:57:34,60.1432,-45.2371,35.74,76,100,3.6
31,Saint-Philippe,RE,2022-05-12 18:57:35,-21.3585,55.7679,71.19,76,41,7.38
32,San Patricio,US,2022-05-12 18:57:35,28.017,-97.5169,92.16,48,0,16.91
33,Shubarshi,KZ,2022-05-12 18:57:35,48.5872,57.1869,50.76,76,18,10.38
34,Tevaitoa,PF,2022-05-12 18:57:36,-16.7833,-151.5,82.02,72,15,19.66
35,Mbini,GQ,2022-05-12 18:57:36,1.574,9.6134,80.85,80,54,6.24
36,Brokopondo,SR,2022-05-12 18:57:36,4.75,-55.1667,80.91,80,34,10.65
37,Mayo,US,2022-05-12 18:57:37,38.8876,-76.5119,75.51,74,100,11.5
38,Mount Gambier,AU,2022-05-12 18:57:37,-37.8333,140.7667,56.64,88,100,3.76
39,Puerto Ayora,EC,2022-05-12 18:57:38,-0.7393,-90.3518,76.96,87,57,9.64
40,Brae,GB,2022-05-12 18:57:38,60.3964,-1.353,47.86,89,100,23.04
41,Barrow,US,2022-05-12 18:57:38,71.2906,-156.7887,26.02,92,100,5.7
42,Hobart,AU,2022-05-12 18:57:39,-42.8794,147.3294,49.01,93,0,3.44
43,Novyy Urengoy,RU,2022-05-12 18:57:39,66.0833,76.6333,37.85,90,100,9.48
44,Yellowknife,CA,2022-05-12 18:53:06,62.456,-114.3525,41.56,65,40,11.5
45,Narsaq,GL,2022-05-12 18:57:39,60.9167,-46.05,36.18,88,100,2.15
46,Hithadhoo,MV,2022-05-12 18:58:40,-0.6,73.0833,83.35,71,100,13.94
47,Tottori,JP,2022-05-12 18:57:46,35.5,134.2333,64.29,96,100,0.54
48,Rawson,AR,2022-05-12 18:58:40,-43.3002,-65.1023,58.98,66,100,27.51
